serialNumber,systemIdentifier,acquirerIPAddress,acquiredPort,TLS
831611697,P00002859,192.168.010.703,2201,1
831611698,P00002860,192.168.010.704,2201,1
831611699,P00002861,192.168.010.705,2201,1
831611700,P00002862,192.168.010.706,2201,1
831611701,P00002863,192.168.010.707,2201,1
831611702,P00002864,192.168.010.708,2201,1
831611703,P00002865,192.168.010.709,2201,1
831611704,P00002866,192.168.010.710,2201,1
831611705,P00002867,192.168.010.711,2201,1
831611706,P00002868,192.168.010.712,2201,1
831611707,P00002869,192.168.010.713,2201,1
831611708,P00002870,192.168.010.714,2201,1
831611709,P00002871,192.168.010.715,2201,1
831611710,P00002872,192.168.010.716,2201,1
831611711,P00002873,192.168.010.717,2201,1
831611712,P00002874,192.168.010.718,2201,1
831611713,P00002875,192.168.010.719,2201,1
831611714,P00002876,192.168.010.720,2201,1
831611715,P00002877,192.168.010.721,2201,1
831611716,P00002878,192.168.010.722,2201,1
831611717,P00002879,192.168.010.723,2201,1
831611718,P00002880,192.168.010.724,2201,1
831611719,P00002881,192.168.010.725,2201,1
831611720,P00002882,192.168.010.726,2201,1
831611721,P00002883,192.168.010.727,2201,1
831611722,P00002884,192.168.010.728,2201,1
831611723,P00002885,192.168.010.729,2201,1
831611724,P00002886,192.168.010.730,2201,1
831611725,P00002887,192.168.010.731,2201,1
831611726,P00002888,192.168.010.732,2201,1
831611727,P00002889,192.168.010.733,2201,1
831611728,P00002890,192.168.010.734,2201,1
831611729,P00002891,192.168.010.735,2201,1
831611730,P00002892,192.168.010.736,2201,1
831611731,P00002893,192.168.010.737,2201,1
831611732,P00002894,192.168.010.738,2201,1
831611733,P00002895,192.168.010.739,2201,1
831611734,P00002896,192.168.010.740,2201,1
831611735,P00002897,192.168.010.741,2201,1
831611736,P00002898,192.168.010.742,2201,1
831611737,P00002899,192.168.010.743,2201,1
831611738,P00002900,192.168.010.744,2201,1
831611739,P00002901,192.168.010.745,2201,1
831611740,P00002902,192.168.010.746,2201,1
831611741,P00002903,192.168.010.747,2201,1
831611742,P00002904,192.168.010.748,2201,1
831611743,P00002905,192.168.010.749,2201,1
831611744,P00002906,192.168.010.750,2201,1
831611745,P00002907,192.168.010.751,2201,1
831611746,P00002908,192.168.010.752,2201,1
831611747,P00002909,192.168.010.753,2201,1
831611748,P00002910,192.168.010.754,2201,1
831611749,P00002911,192.168.010.755,2201,1
831611750,P00002912,192.168.010.756,2201,1
831611751,P00002913,192.168.010.757,2201,1
831611752,P00002914,192.168.010.758,2201,1
831611753,P00002915,192.168.010.759,2201,1
831611754,P00002916,192.168.010.760,2201,1
831611755,P00002917,192.168.010.761,2201,1
831611756,P00002918,192.168.010.762,2201,1
831611757,P00002919,192.168.010.763,2201,1
831611758,P00002920,192.168.010.764,2201,1
831611759,P00002921,192.168.010.765,2201,1
831611760,P00002922,192.168.010.766,2201,1
831611761,P00002923,192.168.010.767,2201,1
831611762,P00002924,192.168.010.768,2201,1
831611763,P00002925,192.168.010.769,2201,1
831611764,P00002926,192.168.010.770,2201,1
831611765,P00002927,192.168.010.771,2201,1
831611766,P00002928,192.168.010.772,2201,1
831611767,P00002929,192.168.010.773,2201,1
831611768,P00002930,192.168.010.774,2201,1
831611769,P00002931,192.168.010.775,2201,1
831611770,P00002932,192.168.010.776,2201,1
831611771,P00002933,192.168.010.777,2201,1
831611772,P00002934,192.168.010.778,2201,1
831611773,P00002935,192.168.010.779,2201,1
831611774,P00002936,192.168.010.780,2201,1
831611775,P00002937,192.168.010.781,2201,1
831611776,P00002938,192.168.010.782,2201,1
831611777,P00002939,192.168.010.783,2201,1
831611778,P00002940,192.168.010.784,2201,1
831611779,P00002941,192.168.010.785,2201,1
831611780,P00002942,192.168.010.786,2201,1
831611781,P00002943,192.168.010.787,2201,1
831611782,P00002944,192.168.010.788,2201,1
831611783,P00002945,192.168.010.789,2201,1
831611784,P00002946,192.168.010.790,2201,1
831611785,P00002947,192.168.010.791,2201,1
831611786,P00002948,192.168.010.792,2201,1
831611787,P00002949,192.168.010.793,2201,1
831611788,P00002950,192.168.010.794,2201,1
831611789,P00002951,192.168.010.795,2201,1
831611790,P00002952,192.168.010.796,2201,1
831611791,P00002953,192.168.010.797,2201,1
831611792,P00002954,192.168.010.798,2201,1
831611793,P00002955,192.168.010.799,2201,1
831611794,P00002956,192.168.010.800,2201,1
831611795,P00002957,192.168.010.801,2201,1
831611796,P00002958,192.168.010.802,2201,1
831611797,P00002959,192.168.010.803,2201,1
831611798,P00002960,192.168.010.804,2201,1
831611799,P00002961,192.168.010.805,2201,1
831611800,P00002962,192.168.010.806,2201,1
831611801,P00002963,192.168.010.807,2201,1
831611802,P00002964,192.168.010.808,2201,1
831611803,P00002965,192.168.010.809,2201,1
831611804,P00002966,192.168.010.810,2201,1
831611805,P00002967,192.168.010.811,2201,1
831611806,P00002968,192.168.010.812,2201,1
831611807,P00002969,192.168.010.813,2201,1
831611808,P00002970,192.168.010.814,2201,1
831611809,P00002971,192.168.010.815,2201,1
831611810,P00002972,192.168.010.816,2201,1
831611811,P00002973,192.168.010.817,2201,1
831611812,P00002974,192.168.010.818,2201,1
831611813,P00002975,192.168.010.819,2201,1
831611814,P00002976,192.168.010.820,2201,1
831611815,P00002977,192.168.010.821,2201,1
831611816,P00002978,192.168.010.822,2201,1
831611817,P00002979,192.168.010.823,2201,1
831611818,P00002980,192.168.010.824,2201,1
831611819,P00002981,192.168.010.825,2201,1
831611820,P00002982,192.168.010.826,2201,1
831611821,P00002983,192.168.010.827,2201,1
831611822,P00002984,192.168.010.828,2201,1
831611823,P00002985,192.168.010.829,2201,1
831611824,P00002986,192.168.010.830,2201,1
831611825,P00002987,192.168.010.831,2201,1
831611826,P00002988,192.168.010.832,2201,1
831611827,P00002989,192.168.010.833,2201,1
831611828,P00002990,192.168.010.834,2201,1
831611829,P00002991,192.168.010.835,2201,1
831611830,P00002992,192.168.010.836,2201,1
831611831,P00002993,192.168.010.837,2201,1
831611832,P00002994,192.168.010.838,2201,1
831611833,P00002995,192.168.010.839,2201,1
831611834,P00002996,192.168.010.840,2201,1
831611835,P00002997,192.168.010.841,2201,1
831611836,P00002998,192.168.010.842,2201,1
831611837,P00002999,192.168.010.843,2201,1
831611838,P00003000,192.168.010.844,2201,1
831611839,P00003001,192.168.010.845,2201,1
831611840,P00003002,192.168.010.846,2201,1
831611841,P00003003,192.168.010.847,2201,1
831611842,P00003004,192.168.010.848,2201,1
831611843,P00003005,192.168.010.849,2201,1
831611844,P00003006,192.168.010.850,2201,1
831611845,P00003007,192.168.010.851,2201,1
831611846,P00003008,192.168.010.852,2201,1
831611847,P00003009,192.168.010.853,2201,1
831611848,P00003010,192.168.010.854,2201,1
831611849,P00003011,192.168.010.855,2201,1
831611850,P00003012,192.168.010.856,2201,1
831611851,P00003013,192.168.010.857,2201,1
831611852,P00003014,192.168.010.858,2201,1
831611853,P00003015,192.168.010.859,2201,1
831611854,P00003016,192.168.010.860,2201,1
831611855,P00003017,192.168.010.861,2201,1
831611856,P00003018,192.168.010.862,2201,1
831611857,P00003019,192.168.010.863,2201,1
831611858,P00003020,192.168.010.864,2201,1
831611859,P00003021,192.168.010.865,2201,1
831611860,P00003022,192.168.010.866,2201,1
831611861,P00003023,192.168.010.867,2201,1
831611862,P00003024,192.168.010.868,2201,1
831611863,P00003025,192.168.010.869,2201,1
831611864,P00003026,192.168.010.870,2201,1
831611865,P00003027,192.168.010.871,2201,1
831611866,P00003028,192.168.010.872,2201,1
831611867,P00003029,192.168.010.873,2201,1
831611868,P00003030,192.168.010.874,2201,1
831611869,P00003031,192.168.010.875,2201,1
831611870,P00003032,192.168.010.876,2201,1
831611871,P00003033,192.168.010.877,2201,1
831611872,P00003034,192.168.010.878,2201,1
831611873,P00003035,192.168.010.879,2201,1
831611874,P00003036,192.168.010.880,2201,1
831611875,P00003037,192.168.010.881,2201,1
831611876,P00003038,192.168.010.882,2201,1
831611877,P00003039,192.168.010.883,2201,1
831611878,P00003040,192.168.010.884,2201,1
831611879,P00003041,192.168.010.885,2201,1
831611880,P00003042,192.168.010.886,2201,1
831611881,P00003043,192.168.010.887,2201,1
831611882,P00003044,192.168.010.888,2201,1
831611883,P00003045,192.168.010.889,2201,1
831611884,P00003046,192.168.010.890,2201,1
831611885,P00003047,192.168.010.891,2201,1
831611886,P00003048,192.168.010.892,2201,1
831611887,P00003049,192.168.010.893,2201,1
831611888,P00003050,192.168.010.894,2201,1
831611889,P00003051,192.168.010.895,2201,1
831611890,P00003052,192.168.010.896,2201,1
831611891,P00003053,192.168.010.897,2201,1
831611892,P00003054,192.168.010.898,2201,1
831611893,P00003055,192.168.010.899,2201,1
831611894,P00003056,192.168.010.900,2201,1
831611895,P00003057,192.168.010.901,2201,1
831611896,P00003058,192.168.010.902,2201,1
831611897,P00003059,192.168.010.903,2201,1
831611898,P00003060,192.168.010.904,2201,1
831611899,P00003061,192.168.010.905,2201,1
831611900,P00003062,192.168.010.906,2201,1
831611901,P00003063,192.168.010.907,2201,1
831611902,P00003064,192.168.010.908,2201,1
831611903,P00003065,192.168.010.909,2201,1
831611904,P00003066,192.168.010.910,2201,1
831611905,P00003067,192.168.010.911,2201,1
831611906,P00003068,192.168.010.912,2201,1
831611907,P00003069,192.168.010.913,2201,1
831611908,P00003070,192.168.010.914,2201,1
831611909,P00003071,192.168.010.915,2201,1
831611910,P00003072,192.168.010.916,2201,1
831611911,P00003073,192.168.010.917,2201,1
831611912,P00003074,192.168.010.918,2201,1
831611913,P00003075,192.168.010.919,2201,1
831611914,P00003076,192.168.010.920,2201,1
831611915,P00003077,192.168.010.921,2201,1
831611916,P00003078,192.168.010.922,2201,1
831611917,P00003079,192.168.010.923,2201,1
831611918,P00003080,192.168.010.924,2201,1
831611919,P00003081,192.168.010.925,2201,1
831611920,P00003082,192.168.010.926,2201,1
831611921,P00003083,192.168.010.927,2201,1
831611922,P00003084,192.168.010.928,2201,1
831611923,P00003085,192.168.010.929,2201,1
831611924,P00003086,192.168.010.930,2201,1
831611925,P00003087,192.168.010.931,2201,1
831611926,P00003088,192.168.010.932,2201,1
831611927,P00003089,192.168.010.933,2201,1
831611928,P00003090,192.168.010.934,2201,1
831611929,P00003091,192.168.010.935,2201,1
831611930,P00003092,192.168.010.936,2201,1
831611931,P00003093,192.168.010.937,2201,1
831611932,P00003094,192.168.010.938,2201,1
831611933,P00003095,192.168.010.939,2201,1
831611934,P00003096,192.168.010.940,2201,1
831611935,P00003097,192.168.010.941,2201,1
831611936,P00003098,192.168.010.942,2201,1
831611937,P00003099,192.168.010.943,2201,1
831611938,P00003100,192.168.010.944,2201,1
831611939,P00003101,192.168.010.945,2201,1
831611940,P00003102,192.168.010.946,2201,1
831611941,P00003103,192.168.010.947,2201,1
831611942,P00003104,192.168.010.948,2201,1
831611943,P00003105,192.168.010.949,2201,1
831611944,P00003106,192.168.010.950,2201,1
831611945,P00003107,192.168.010.951,2201,1
831611946,P00003108,192.168.010.952,2201,1
831611947,P00003109,192.168.010.953,2201,1
831611948,P00003110,192.168.010.954,2201,1
831611949,P00003111,192.168.010.955,2201,1
831611950,P00003112,192.168.010.956,2201,1
831611951,P00003113,192.168.010.957,2201,1
831611952,P00003114,192.168.010.958,2201,1
831611953,P00003115,192.168.010.959,2201,1
831611954,P00003116,192.168.010.960,2201,1
831611955,P00003117,192.168.010.961,2201,1
831611956,P00003118,192.168.010.962,2201,1
831611957,P00003119,192.168.010.963,2201,1
831611958,P00003120,192.168.010.964,2201,1
831611959,P00003121,192.168.010.965,2201,1
831611960,P00003122,192.168.010.966,2201,1
831611961,P00003123,192.168.010.967,2201,1
831611962,P00003124,192.168.010.968,2201,1
831611963,P00003125,192.168.010.969,2201,1
831611964,P00003126,192.168.010.970,2201,1
831611965,P00003127,192.168.010.971,2201,1
831611966,P00003128,192.168.010.972,2201,1
831611967,P00003129,192.168.010.973,2201,1
831611968,P00003130,192.168.010.974,2201,1
831611969,P00003131,192.168.010.975,2201,1
831611970,P00003132,192.168.010.976,2201,1
831611971,P00003133,192.168.010.977,2201,1
831611972,P00003134,192.168.010.978,2201,1
831611973,P00003135,192.168.010.979,2201,1
831611974,P00003136,192.168.010.980,2201,1
831611975,P00003137,192.168.010.981,2201,1
831611976,P00003138,192.168.010.982,2201,1
831611977,P00003139,192.168.010.983,2201,1
831611978,P00003140,192.168.010.984,2201,1
831611979,P00003141,192.168.010.985,2201,1
831611980,P00003142,192.168.010.986,2201,1
831611981,P00003143,192.168.010.987,2201,1
831611982,P00003144,192.168.010.988,2201,1
831611983,P00003145,192.168.010.989,2201,1
831611984,P00003146,192.168.010.990,2201,1
831611985,P00003147,192.168.010.991,2201,1
831611986,P00003148,192.168.010.992,2201,1
831611987,P00003149,192.168.010.993,2201,1
831611988,P00003150,192.168.010.994,2201,1
831611989,P00003151,192.168.010.995,2201,1
831611990,P00003152,192.168.010.996,2201,1
831611991,P00003153,192.168.010.997,2201,1
831611992,P00003154,192.168.010.998,2201,1
831611993,P00003155,192.168.010.999,2201,1
831611994,P00003156,192.168.010.1000,2201,1
831611995,P00003157,192.168.010.1001,2201,1
831611996,P00003158,192.168.010.1002,2201,1
831611997,P00003159,192.168.010.1003,2201,1
831611998,P00003160,192.168.010.1004,2201,1
831611999,P00003161,192.168.010.1005,2201,1
831612000,P00003162,192.168.010.1006,2201,1
831612001,P00003163,192.168.010.1007,2201,1
831612002,P00003164,192.168.010.1008,2201,1
831612003,P00003165,192.168.010.1009,2201,1
831612004,P00003166,192.168.010.1010,2201,1
831612005,P00003167,192.168.010.1011,2201,1
831612006,P00003168,192.168.010.1012,2201,1
831612007,P00003169,192.168.010.1013,2201,1
831612008,P00003170,192.168.010.1014,2201,1
831612009,P00003171,192.168.010.1015,2201,1
831612010,P00003172,192.168.010.1016,2201,1
831612011,P00003173,192.168.010.1017,2201,1
831612012,P00003174,192.168.010.1018,2201,1
831612013,P00003175,192.168.010.1019,2201,1
831612014,P00003176,192.168.010.1020,2201,1
831612015,P00003177,192.168.010.1021,2201,1
831612016,P00003178,192.168.010.1022,2201,1
831612017,P00003179,192.168.010.1023,2201,1
831612018,P00003180,192.168.010.1024,2201,1
831612019,P00003181,192.168.010.1025,2201,1
831612020,P00003182,192.168.010.1026,2201,1
831612021,P00003183,192.168.010.1027,2201,1
831612022,P00003184,192.168.010.1028,2201,1
831612023,P00003185,192.168.010.1029,2201,1
831612024,P00003186,192.168.010.1030,2201,1
831612025,P00003187,192.168.010.1031,2201,1
831612026,P00003188,192.168.010.1032,2201,1
831612027,P00003189,192.168.010.1033,2201,1
831612028,P00003190,192.168.010.1034,2201,1
831612029,P00003191,192.168.010.1035,2201,1
831612030,P00003192,192.168.010.1036,2201,1
831612031,P00003193,192.168.010.1037,2201,1
831612032,P00003194,192.168.010.1038,2201,1
831612033,P00003195,192.168.010.1039,2201,1
831612034,P00003196,192.168.010.1040,2201,1
831612035,P00003197,192.168.010.1041,2201,1
831612036,P00003198,192.168.010.1042,2201,1
831612037,P00003199,192.168.010.1043,2201,1
831612038,P00003200,192.168.010.1044,2201,1
831612039,P00003201,192.168.010.1045,2201,1
831612040,P00003202,192.168.010.1046,2201,1
831612041,P00003203,192.168.010.1047,2201,1
831612042,P00003204,192.168.010.1048,2201,1
831612043,P00003205,192.168.010.1049,2201,1
831612044,P00003206,192.168.010.1050,2201,1
831612045,P00003207,192.168.010.1051,2201,1
831612046,P00003208,192.168.010.1052,2201,1
831612047,P00003209,192.168.010.1053,2201,1
831612048,P00003210,192.168.010.1054,2201,1
831612049,P00003211,192.168.010.1055,2201,1
831612050,P00003212,192.168.010.1056,2201,1
831612051,P00003213,192.168.010.1057,2201,1
831612052,P00003214,192.168.010.1058,2201,1
831612053,P00003215,192.168.010.1059,2201,1
831612054,P00003216,192.168.010.1060,2201,1
831612055,P00003217,192.168.010.1061,2201,1
831612056,P00003218,192.168.010.1062,2201,1
831612057,P00003219,192.168.010.1063,2201,1
831612058,P00003220,192.168.010.1064,2201,1
831612059,P00003221,192.168.010.1065,2201,1
831612060,P00003222,192.168.010.1066,2201,1
831612061,P00003223,192.168.010.1067,2201,1
831612062,P00003224,192.168.010.1068,2201,1
831612063,P00003225,192.168.010.1069,2201,1
831612064,P00003226,192.168.010.1070,2201,1
831612065,P00003227,192.168.010.1071,2201,1
831612066,P00003228,192.168.010.1072,2201,1
831612067,P00003229,192.168.010.1073,2201,1
831612068,P00003230,192.168.010.1074,2201,1
831612069,P00003231,192.168.010.1075,2201,1
831612070,P00003232,192.168.010.1076,2201,1
831612071,P00003233,192.168.010.1077,2201,1
831612072,P00003234,192.168.010.1078,2201,1
831612073,P00003235,192.168.010.1079,2201,1
831612074,P00003236,192.168.010.1080,2201,1
831612075,P00003237,192.168.010.1081,2201,1
831612076,P00003238,192.168.010.1082,2201,1
831612077,P00003239,192.168.010.1083,2201,1
831612078,P00003240,192.168.010.1084,2201,1
831612079,P00003241,192.168.010.1085,2201,1
831612080,P00003242,192.168.010.1086,2201,1
831612081,P00003243,192.168.010.1087,2201,1
831612082,P00003244,192.168.010.1088,2201,1
831612083,P00003245,192.168.010.1089,2201,1
831612084,P00003246,192.168.010.1090,2201,1
831612085,P00003247,192.168.010.1091,2201,1
831612086,P00003248,192.168.010.1092,2201,1
831612087,P00003249,192.168.010.1093,2201,1
831612088,P00003250,192.168.010.1094,2201,1
831612089,P00003251,192.168.010.1095,2201,1
831612090,P00003252,192.168.010.1096,2201,1
831612091,P00003253,192.168.010.1097,2201,1
831612092,P00003254,192.168.010.1098,2201,1
831612093,P00003255,192.168.010.1099,2201,1
831612094,P00003256,192.168.010.1100,2201,1
831612095,P00003257,192.168.010.1101,2201,1
831612096,P00003258,192.168.010.1102,2201,1
831612097,P00003259,192.168.010.1103,2201,1
831612098,P00003260,192.168.010.1104,2201,1
831612099,P00003261,192.168.010.1105,2201,1
831612100,P00003262,192.168.010.1106,2201,1
831612101,P00003263,192.168.010.1107,2201,1
831612102,P00003264,192.168.010.1108,2201,1
831612103,P00003265,192.168.010.1109,2201,1
831612104,P00003266,192.168.010.1110,2201,1
831612105,P00003267,192.168.010.1111,2201,1
831612106,P00003268,192.168.010.1112,2201,1
831612107,P00003269,192.168.010.1113,2201,1
831612108,P00003270,192.168.010.1114,2201,1
831612109,P00003271,192.168.010.1115,2201,1
831612110,P00003272,192.168.010.1116,2201,1
831612111,P00003273,192.168.010.1117,2201,1
831612112,P00003274,192.168.010.1118,2201,1
831612113,P00003275,192.168.010.1119,2201,1
831612114,P00003276,192.168.010.1120,2201,1
831612115,P00003277,192.168.010.1121,2201,1
831612116,P00003278,192.168.010.1122,2201,1
831612117,P00003279,192.168.010.1123,2201,1
831612118,P00003280,192.168.010.1124,2201,1
831612119,P00003281,192.168.010.1125,2201,1
831612120,P00003282,192.168.010.1126,2201,1
831612121,P00003283,192.168.010.1127,2201,1
831612122,P00003284,192.168.010.1128,2201,1
831612123,P00003285,192.168.010.1129,2201,1
831612124,P00003286,192.168.010.1130,2201,1
831612125,P00003287,192.168.010.1131,2201,1
831612126,P00003288,192.168.010.1132,2201,1
831612127,P00003289,192.168.010.1133,2201,1
831612128,P00003290,192.168.010.1134,2201,1
831612129,P00003291,192.168.010.1135,2201,1
831612130,P00003292,192.168.010.1136,2201,1
831612131,P00003293,192.168.010.1137,2201,1
831612132,P00003294,192.168.010.1138,2201,1
831612133,P00003295,192.168.010.1139,2201,1
831612134,P00003296,192.168.010.1140,2201,1
831612135,P00003297,192.168.010.1141,2201,1
831612136,P00003298,192.168.010.1142,2201,1
831612137,P00003299,192.168.010.1143,2201,1
831612138,P00003300,192.168.010.1144,2201,1
831612139,P00003301,192.168.010.1145,2201,1
831612140,P00003302,192.168.010.1146,2201,1
831612141,P00003303,192.168.010.1147,2201,1
831612142,P00003304,192.168.010.1148,2201,1
831612143,P00003305,192.168.010.1149,2201,1
831612144,P00003306,192.168.010.1150,2201,1
831612145,P00003307,192.168.010.1151,2201,1
831612146,P00003308,192.168.010.1152,2201,1
831612147,P00003309,192.168.010.1153,2201,1
831612148,P00003310,192.168.010.1154,2201,1
831612149,P00003311,192.168.010.1155,2201,1
831612150,P00003312,192.168.010.1156,2201,1
831612151,P00003313,192.168.010.1157,2201,1
831612152,P00003314,192.168.010.1158,2201,1
831612153,P00003315,192.168.010.1159,2201,1
831612154,P00003316,192.168.010.1160,2201,1
831612155,P00003317,192.168.010.1161,2201,1
831612156,P00003318,192.168.010.1162,2201,1
831612157,P00003319,192.168.010.1163,2201,1
831612158,P00003320,192.168.010.1164,2201,1
831612159,P00003321,192.168.010.1165,2201,1
831612160,P00003322,192.168.010.1166,2201,1
831612161,P00003323,192.168.010.1167,2201,1
831612162,P00003324,192.168.010.1168,2201,1
831612163,P00003325,192.168.010.1169,2201,1
831612164,P00003326,192.168.010.1170,2201,1
831612165,P00003327,192.168.010.1171,2201,1
831612166,P00003328,192.168.010.1172,2201,1
831612167,P00003329,192.168.010.1173,2201,1
831612168,P00003330,192.168.010.1174,2201,1
831612169,P00003331,192.168.010.1175,2201,1
831612170,P00003332,192.168.010.1176,2201,1
831612171,P00003333,192.168.010.1177,2201,1
831612172,P00003334,192.168.010.1178,2201,1
831612173,P00003335,192.168.010.1179,2201,1
831612174,P00003336,192.168.010.1180,2201,1
831612175,P00003337,192.168.010.1181,2201,1
831612176,P00003338,192.168.010.1182,2201,1
831612177,P00003339,192.168.010.1183,2201,1
831612178,P00003340,192.168.010.1184,2201,1
831612179,P00003341,192.168.010.1185,2201,1
831612180,P00003342,192.168.010.1186,2201,1
831612181,P00003343,192.168.010.1187,2201,1
831612182,P00003344,192.168.010.1188,2201,1
831612183,P00003345,192.168.010.1189,2201,1
831612184,P00003346,192.168.010.1190,2201,1
831612185,P00003347,192.168.010.1191,2201,1
831612186,P00003348,192.168.010.1192,2201,1
831612187,P00003349,192.168.010.1193,2201,1
831612188,P00003350,192.168.010.1194,2201,1
831612189,P00003351,192.168.010.1195,2201,1
831612190,P00003352,192.168.010.1196,2201,1
831612191,P00003353,192.168.010.1197,2201,1
831612192,P00003354,192.168.010.1198,2201,1
831612193,P00003355,192.168.010.1199,2201,1
831612194,P00003356,192.168.010.1200,2201,1
831612195,P00003357,192.168.010.1201,2201,1
831612196,P00003358,192.168.010.1202,2201,1
831612197,P00003359,192.168.010.1203,2201,1
831612198,P00003360,192.168.010.1204,2201,1
831612199,P00003361,192.168.010.1205,2201,1
831612200,P00003362,192.168.010.1206,2201,1
831612201,P00003363,192.168.010.1207,2201,1
831612202,P00003364,192.168.010.1208,2201,1
831612203,P00003365,192.168.010.1209,2201,1
831612204,P00003366,192.168.010.1210,2201,1
831612205,P00003367,192.168.010.1211,2201,1
831612206,P00003368,192.168.010.1212,2201,1
831612207,P00003369,192.168.010.1213,2201,1
831612208,P00003370,192.168.010.1214,2201,1
831612209,P00003371,192.168.010.1215,2201,1
831612210,P00003372,192.168.010.1216,2201,1
831612211,P00003373,192.168.010.1217,2201,1
831612212,P00003374,192.168.010.1218,2201,1
831612213,P00003375,192.168.010.1219,2201,1
831612214,P00003376,192.168.010.1220,2201,1
831612215,P00003377,192.168.010.1221,2201,1
831612216,P00003378,192.168.010.1222,2201,1
831612217,P00003379,192.168.010.1223,2201,1
831612218,P00003380,192.168.010.1224,2201,1
831612219,P00003381,192.168.010.1225,2201,1
831612220,P00003382,192.168.010.1226,2201,1
831612221,P00003383,192.168.010.1227,2201,1
831612222,P00003384,192.168.010.1228,2201,1
831612223,P00003385,192.168.010.1229,2201,1
831612224,P00003386,192.168.010.1230,2201,1
831612225,P00003387,192.168.010.1231,2201,1
831612226,P00003388,192.168.010.1232,2201,1
831612227,P00003389,192.168.010.1233,2201,1
831612228,P00003390,192.168.010.1234,2201,1
831612229,P00003391,192.168.010.1235,2201,1
831612230,P00003392,192.168.010.1236,2201,1
831612231,P00003393,192.168.010.1237,2201,1
831612232,P00003394,192.168.010.1238,2201,1
831612233,P00003395,192.168.010.1239,2201,1
831612234,P00003396,192.168.010.1240,2201,1
831612235,P00003397,192.168.010.1241,2201,1
831612236,P00003398,192.168.010.1242,2201,1
831612237,P00003399,192.168.010.1243,2201,1
831612238,P00003400,192.168.010.1244,2201,1
831612239,P00003401,192.168.010.1245,2201,1
831612240,P00003402,192.168.010.1246,2201,1
831612241,P00003403,192.168.010.1247,2201,1
831612242,P00003404,192.168.010.1248,2201,1
831612243,P00003405,192.168.010.1249,2201,1
831612244,P00003406,192.168.010.1250,2201,1
831612245,P00003407,192.168.010.1251,2201,1
831612246,P00003408,192.168.010.1252,2201,1
831612247,P00003409,192.168.010.1253,2201,1
831612248,P00003410,192.168.010.1254,2201,1
831612249,P00003411,192.168.010.1255,2201,1
831612250,P00003412,192.168.010.1256,2201,1
831612251,P00003413,192.168.010.1257,2201,1
831612252,P00003414,192.168.010.1258,2201,1
831612253,P00003415,192.168.010.1259,2201,1
831612254,P00003416,192.168.010.1260,2201,1
831612255,P00003417,192.168.010.1261,2201,1
831612256,P00003418,192.168.010.1262,2201,1
831612257,P00003419,192.168.010.1263,2201,1
831612258,P00003420,192.168.010.1264,2201,1
831612259,P00003421,192.168.010.1265,2201,1
831612260,P00003422,192.168.010.1266,2201,1
831612261,P00003423,192.168.010.1267,2201,1
831612262,P00003424,192.168.010.1268,2201,1
831612263,P00003425,192.168.010.1269,2201,1
831612264,P00003426,192.168.010.1270,2201,1
831612265,P00003427,192.168.010.1271,2201,1
831612266,P00003428,192.168.010.1272,2201,1
831612267,P00003429,192.168.010.1273,2201,1
831612268,P00003430,192.168.010.1274,2201,1
831612269,P00003431,192.168.010.1275,2201,1
831612270,P00003432,192.168.010.1276,2201,1
831612271,P00003433,192.168.010.1277,2201,1
831612272,P00003434,192.168.010.1278,2201,1
831612273,P00003435,192.168.010.1279,2201,1
831612274,P00003436,192.168.010.1280,2201,1
831612275,P00003437,192.168.010.1281,2201,1
831612276,P00003438,192.168.010.1282,2201,1
831612277,P00003439,192.168.010.1283,2201,1
831612278,P00003440,192.168.010.1284,2201,1
831612279,P00003441,192.168.010.1285,2201,1
831612280,P00003442,192.168.010.1286,2201,1
831612281,P00003443,192.168.010.1287,2201,1
831612282,P00003444,192.168.010.1288,2201,1
831612283,P00003445,192.168.010.1289,2201,1
831612284,P00003446,192.168.010.1290,2201,1
831612285,P00003447,192.168.010.1291,2201,1
831612286,P00003448,192.168.010.1292,2201,1
831612287,P00003449,192.168.010.1293,2201,1
831612288,P00003450,192.168.010.1294,2201,1
831612289,P00003451,192.168.010.1295,2201,1
831612290,P00003452,192.168.010.1296,2201,1
831612291,P00003453,192.168.010.1297,2201,1
831612292,P00003454,192.168.010.1298,2201,1
831612293,P00003455,192.168.010.1299,2201,1
831612294,P00003456,192.168.010.1300,2201,1
831612295,P00003457,192.168.010.1301,2201,1
831612296,P00003458,192.168.010.1302,2201,1
831612297,P00003459,192.168.010.1303,2201,1
831612298,P00003460,192.168.010.1304,2201,1
831612299,P00003461,192.168.010.1305,2201,1
831612300,P00003462,192.168.010.1306,2201,1
831612301,P00003463,192.168.010.1307,2201,1
831612302,P00003464,192.168.010.1308,2201,1
831612303,P00003465,192.168.010.1309,2201,1
831612304,P00003466,192.168.010.1310,2201,1
831612305,P00003467,192.168.010.1311,2201,1
831612306,P00003468,192.168.010.1312,2201,1
831612307,P00003469,192.168.010.1313,2201,1
831612308,P00003470,192.168.010.1314,2201,1
831612309,P00003471,192.168.010.1315,2201,1
831612310,P00003472,192.168.010.1316,2201,1
831612311,P00003473,192.168.010.1317,2201,1
831612312,P00003474,192.168.010.1318,2201,1
831612313,P00003475,192.168.010.1319,2201,1
831612314,P00003476,192.168.010.1320,2201,1
831612315,P00003477,192.168.010.1321,2201,1
831612316,P00003478,192.168.010.1322,2201,1
